InvoiceNo,StockCode,Description,UnitPrice,Quantity,TotalSale,PriceTier,QuantityTier,SaleTier,TotalItemsPerOrder,CustomerID,Country,FullInvoiceDate,InvoiceDay,InvoiceMonth,InvoiceYear,Weekday,InvoiceHour,Season,HolidayFlag,RepeatCustomer
C536379,D,Discount,27.5,-1,-27.5,High,Low,Medium,-1,14527,United Kingdom,12/1/2010,1,December,2010,Wednesday,9,Winter,TRUE,TRUE
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,4.65,-1,-4.65,Low,Low,Very Low,-1,15311,United Kingdom,12/1/2010,1,December,2010,Wednesday,9,Winter,TRUE,TRUE
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,1.65,-12,-19.8,Low,Medium,Low,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,0.29,-24,-6.96,Very Low,High,Low,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,0.29,-24,-6.96,Very Low,High,Low,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,0.29,-24,-6.96,Very Low,High,Low,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,21484,CHICK GREY HOT WATER BOTTLE,3.45,-12,-41.4,Low,Medium,Medium,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1.65,-12,-19.8,Low,Medium,Low,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536391,22553,PLASTERS IN TIN SKULLS,1.65,-24,-39.6,Low,High,Medium,-132,17548,United Kingdom,12/1/2010,1,December,2010,Wednesday,10,Winter,TRUE,TRUE
C536506,22960,JAM MAKING SET WITH JARS,4.25,-6,-25.5,Low,Medium,Medium,-6,17897,United Kingdom,12/1/2010,1,December,2010,Wednesday,12,Winter,TRUE,FALSE
C536543,22632,HAND WARMER RED RETROSPOT,2.1,-1,-2.1,Low,Low,Very Low,-3,17841,United Kingdom,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536543,22355,CHARLOTTE BAG SUKI DESIGN,0.85,-2,-1.7,Very Low,Low,Very Low,-3,17841,United Kingdom,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22244,3 HOOK HANGER MAGIC GARDEN,1.95,-4,-7.8,Low,Low,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,1.65,-5,-8.25,Low,Medium,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.95,-1,-2.95,Low,Low,Very Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,1.25,-7,-8.75,Low,Medium,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22654,DELUXE SEWING KIT ,5.95,-1,-5.95,Medium,Low,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,9.95,-2,-19.9,Medium,Low,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,1.65,-1,-1.65,Low,Low,Very Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",0.85,-2,-1.7,Very Low,Low,Very Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22077,6 RIBBONS RUSTIC CHARM,1.65,-6,-9.9,Low,Medium,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22631,CIRCUS PARADE LUNCH BOX ,1.95,-1,-1.95,Low,Low,Very Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,8.5,-2,-17,Medium,Low,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,21218,RED SPOTTY BISCUIT TIN,3.75,-3,-11.25,Low,Low,Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,20957,PORCELAIN HANGING BELL SMALL,1.45,-1,-1.45,Low,Low,Very Low,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536548,22580,ADVENT CALENDAR GINGHAM SACK,5.95,-4,-23.8,Medium,Low,Medium,-40,12472,Germany,12/1/2010,1,December,2010,Wednesday,14,Winter,TRUE,TRUE
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.95,-2,-5.9,Low,Low,Low,-2,14092,United Kingdom,12/2/2010,2,December,2010,Thursday,9,Winter,TRUE,TRUE
C536622,22752,SET 7 BABUSHKA NESTING BOXES,8.5,-2,-17,Medium,Low,Low,-2,12471,Germany,12/2/2010,2,December,2010,Thursday,10,Winter,TRUE,TRUE
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,14.95,-2,-29.9,Medium,Low,Medium,-2,14766,United Kingdom,12/2/2010,2,December,2010,Thursday,10,Winter,TRUE,TRUE
C536642,21463,MIRRORED DISCO BALL ,5.95,-1,-5.95,Medium,Low,Low,-1,14390,United Kingdom,12/2/2010,2,December,2010,Thursday,11,Winter,TRUE,TRUE
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,4.25,-4,-17,Low,Low,Low,-5,16042,United Kingdom,12/2/2010,2,December,2010,Thursday,12,Winter,TRUE,TRUE
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.95,-1,-7.95,Medium,Low,Low,-5,16042,United Kingdom,12/2/2010,2,December,2010,Thursday,12,Winter,TRUE,TRUE
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,2.95,-2,-5.9,Low,Low,Low,-2,15922,United Kingdom,12/2/2010,2,December,2010,Thursday,13,Winter,TRUE,FALSE
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,0.03,-9360,-280.8,Very Low,Very High,High,-9360,15838,United Kingdom,12/2/2010,2,December,2010,Thursday,14,Winter,TRUE,TRUE
C536758,21314,SMALL GLASS HEART TRINKET POT,2.1,-1,-2.1,Low,Low,Very Low,-1,13767,United Kingdom,12/2/2010,2,December,2010,Thursday,14,Winter,TRUE,TRUE
C536760,22175,PINK OWL SOFT TOY,2.95,-1,-2.95,Low,Low,Very Low,-4,17547,United Kingdom,12/2/2010,2,December,2010,Thursday,14,Winter,TRUE,FALSE
C536760,22273,FELTCRAFT DOLL MOLLY,2.95,-3,-8.85,Low,Low,Low,-4,17547,United Kingdom,12/2/2010,2,December,2010,Thursday,14,Winter,TRUE,FALSE
C536807,22501,PICNIC BASKET WICKER LARGE,9.95,-2,-19.9,Medium,Low,Low,-3,15834,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,TRUE
C536807,22778,GLASS CLOCHE SMALL,3.95,-1,-3.95,Low,Low,Very Low,-3,15834,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,TRUE
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.85,-36,-30.6,Very Low,High,Medium,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,0.72,-192,-138.24,Very Low,Very High,High,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536812,22593,CHRISTMAS GINGHAM STAR,0.72,-144,-103.68,Very Low,Very High,High,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536812,22595,CHRISTMAS GINGHAM HEART,0.72,-144,-103.68,Very Low,Very High,High,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536812,22588,CARD HOLDER GINGHAM HEART,2.1,-192,-403.2,Low,Very High,High,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536812,22130,PARTY CONE CHRISTMAS DECORATION ,0.72,-144,-103.68,Very Low,Very High,High,-852,16546,United Kingdom,12/2/2010,2,December,2010,Thursday,16,Winter,TRUE,FALSE
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,7.95,-2,-15.9,Medium,Low,Low,-23,13958,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2.95,-6,-17.7,Low,Medium,Low,-23,13958,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536814,85066,CREAM SWEETHEART MINI CHEST,12.75,-2,-25.5,Medium,Low,Medium,-23,13958,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,2.55,-12,-30.6,Low,Medium,Medium,-23,13958,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536814,21258,VICTORIAN SEWING BOX LARGE,12.75,-1,-12.75,Medium,Low,Low,-23,13958,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536815,85175,CACTI T-LIGHT CANDLES,0.42,-1,-0.42,Very Low,Low,Very Low,-2,14443,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,1.25,-1,-1.25,Low,Low,Very Low,-2,14443,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536816,21129,SILVER FISHING GNOME ,6.95,-2,-13.9,Medium,Low,Low,-2,14443,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,4.25,-1,-4.25,Low,Low,Very Low,-2,14156,Ireland,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.25,-1,-3.25,Low,Low,Very Low,-2,14156,Ireland,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1.25,-1,-1.25,Low,Low,Very Low,-1,16995,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,1.95,-1,-1.95,Low,Low,Very Low,-4,18168,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,1.95,-1,-1.95,Low,Low,Very Low,-4,18168,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536820,22878,NUMBER TILE COTTAGE GARDEN No,2.1,-1,-2.1,Low,Low,Very Low,-4,18168,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536820,21843,RED RETROSPOT CAKE STAND,10.95,-1,-10.95,Medium,Low,Low,-4,18168,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536822,22847,BREAD BIN DINER STYLE IVORY,16.95,-2,-33.9,Medium,Low,Medium,-3,14625,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,3.75,-1,-3.75,Low,Low,Very Low,-3,14625,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536825,22617,BAKING SET SPACEBOY DESIGN,4.95,-1,-4.95,Low,Low,Very Low,-3,15384,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536825,22197,SMALL POPCORN HOLDER,0.85,-2,-1.7,Very Low,Low,Very Low,-3,15384,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,4.65,-2,-9.3,Low,Low,Low,-5,17924,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,4.65,-3,-13.95,Low,Low,Low,-5,17924,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,6.95,-3,-20.85,Medium,Low,Medium,-3,13408,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,TRUE
C536828,22832,BROCANTE SHELF WITH HOOKS,10.75,-1,-10.75,Medium,Low,Low,-4,14264,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,1.25,-3,-3.75,Low,Low,Very Low,-4,14264,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.25,-1,-3.25,Low,Low,Very Low,-1,13295,United Kingdom,12/2/2010,2,December,2010,Thursday,17,Winter,TRUE,FALSE
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,7.65,-48,-367.2,Medium,High,High,-244,14213,United Kingdom,12/3/2010,3,December,2010,Friday,9,Winter,TRUE,FALSE
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,6.75,-50,-337.5,Medium,High,High,-244,14213,United Kingdom,12/3/2010,3,December,2010,Friday,9,Winter,TRUE,FALSE
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,2.55,-50,-127.5,Low,High,High,-244,14213,United Kingdom,12/3/2010,3,December,2010,Friday,9,Winter,TRUE,FALSE
C536850,22580,ADVENT CALENDAR GINGHAM SACK,4.95,-48,-237.6,Low,High,High,-244,14213,United Kingdom,12/3/2010,3,December,2010,Friday,9,Winter,TRUE,FALSE
C536850,22186,RED STAR CARD HOLDER,2.55,-48,-122.4,Low,High,High,-244,14213,United Kingdom,12/3/2010,3,December,2010,Friday,9,Winter,TRUE,FALSE
C536853,84678,CLASSICAL ROSE SMALL VASE,2.55,-1,-2.55,Low,Low,Very Low,-1,14679,United Kingdom,12/3/2010,3,December,2010,Friday,10,Winter,TRUE,FALSE
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,2.95,-1,-2.95,Low,Low,Very Low,-3,15240,United Kingdom,12/3/2010,3,December,2010,Friday,10,Winter,TRUE,TRUE
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,1.25,-1,-1.25,Low,Low,Very Low,-3,15240,United Kingdom,12/3/2010,3,December,2010,Friday,10,Winter,TRUE,TRUE
C536854,21871,SAVE THE PLANET MUG,1.25,-1,-1.25,Low,Low,Very Low,-3,15240,United Kingdom,12/3/2010,3,December,2010,Friday,10,Winter,TRUE,TRUE
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,7.95,-4,-31.8,Medium,Low,Medium,-4,18225,United Kingdom,12/3/2010,3,December,2010,Friday,10,Winter,TRUE,TRUE
C536978,22776,SWEETHEART CAKESTAND 3 TIER,9.95,-1,-9.95,Medium,Low,Low,-1,17954,United Kingdom,12/3/2010,3,December,2010,Friday,14,Winter,TRUE,TRUE
C536979,84685,BEACH HUT KEY CABINET,3.75,-1,-3.75,Low,Low,Very Low,-2,17841,United Kingdom,12/3/2010,3,December,2010,Friday,14,Winter,TRUE,TRUE
C536979,22630,DOLLY GIRL LUNCH BOX,1.95,-1,-1.95,Low,Low,Very Low,-2,17841,United Kingdom,12/3/2010,3,December,2010,Friday,14,Winter,TRUE,TRUE
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.1,-36,-75.6,Low,High,Medium,-36,13941,United Kingdom,12/3/2010,3,December,2010,Friday,16,Winter,TRUE,TRUE
C537039,22854,CREAM SWEETHEART EGG HOLDER,4.95,-1,-4.95,Low,Low,Very Low,-3,15708,United Kingdom,12/5/2010,5,December,2010,Sunday,10,Winter,TRUE,TRUE
C537039,20936,FORKED CACTUS CANDLE,2.95,-1,-2.95,Low,Low,Very Low,-3,15708,United Kingdom,12/5/2010,5,December,2010,Sunday,10,Winter,TRUE,TRUE
C537039,85175,CACTI T-LIGHT CANDLES,0.42,-1,-0.42,Very Low,Low,Very Low,-3,15708,United Kingdom,12/5/2010,5,December,2010,Sunday,10,Winter,TRUE,TRUE
C537043,22575,METAL MERRY CHRISTMAS WREATH,1.95,-6,-11.7,Low,Medium,Low,-7,15351,United Kingdom,12/5/2010,5,December,2010,Sunday,10,Winter,TRUE,TRUE
C537043,11001,ASSTD DESIGN RACING CAR PEN,1.69,-1,-1.69,Low,Low,Very Low,-7,15351,United Kingdom,12/5/2010,5,December,2010,Sunday,10,Winter,TRUE,TRUE
C537132,22788,BROCANTE COAT RACK,8.5,-2,-17,Medium,Low,Low,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,8.5,-1,-8.5,Medium,Low,Low,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537132,71279,PINK GLASS CANDLEHOLDER,2.95,-2,-5.9,Low,Low,Low,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,21.95,-2,-43.9,High,Low,Medium,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537132,22769,CHALKBOARD KITCHEN ORGANISER,21.95,-8,-175.6,High,Medium,High,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,12.75,-3,-38.25,Medium,Low,Medium,-18,15221,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,FALSE
C537143,20685,DOORMAT RED RETROSPOT,7.95,-1,-7.95,Medium,Low,Low,-1,12748,United Kingdom,12/5/2010,5,December,2010,Sunday,12,Winter,TRUE,TRUE
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,1.25,-24,-30,Low,High,Medium,-24,15880,United Kingdom,12/5/2010,5,December,2010,Sunday,13,Winter,TRUE,FALSE
C537164,D,Discount,29.29,-1,-29.29,High,Low,Medium,-1,14527,United Kingdom,12/5/2010,5,December,2010,Sunday,13,Winter,TRUE,TRUE
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,9.95,-1,-9.95,Medium,Low,Low,-2,14606,United Kingdom,12/5/2010,5,December,2010,Sunday,14,Winter,TRUE,TRUE
C537203,21424,WOODLAND STORAGE BOX LARGE ,2.95,-1,-2.95,Low,Low,Very Low,-2,14606,United Kingdom,12/5/2010,5,December,2010,Sunday,14,Winter,TRUE,TRUE
C537232,84840,SWEETHEART CARRY-ALL BASKET,8.5,-2,-17,Medium,Low,Low,-2,12586,Italy,12/6/2010,6,December,2010,Monday,9,Winter,TRUE,FALSE
C537234,22653,BUTTON BOX ,1.95,-20,-39,Low,Medium,Medium,-20,16161,United Kingdom,12/6/2010,6,December,2010,Monday,9,Winter,TRUE,TRUE
C537314,21349,IVY HEART WREATH,6.75,-4,-27,Medium,Low,Medium,-4,13497,United Kingdom,12/6/2010,6,December,2010,Monday,11,Winter,TRUE,FALSE
C537320,35400,WOODEN BOX ADVENT CALENDAR ,8.95,-1,-8.95,Medium,Low,Low,-1,14867,United Kingdom,12/6/2010,6,December,2010,Monday,11,Winter,TRUE,FALSE
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8.5,-4,-34,Medium,Low,Medium,-4,12474,Germany,12/6/2010,6,December,2010,Monday,12,Winter,TRUE,TRUE
C537373,22423,REGENCY CAKESTAND 3 TIER,12.75,-1,-12.75,Medium,Low,Low,-1,14487,United Kingdom,12/6/2010,6,December,2010,Monday,12,Winter,TRUE,FALSE
C537379,22865,HAND WARMER OWL DESIGN,2.1,-10,-21,Low,Medium,Medium,-10,15882,United Kingdom,12/6/2010,6,December,2010,Monday,13,Winter,TRUE,FALSE
C537383,21658,GLASS  BEURRE DISH,3.95,-1,-3.95,Low,Low,Very Low,-3,16550,United Kingdom,12/6/2010,6,December,2010,Monday,13,Winter,TRUE,TRUE
C537383,22197,SMALL POPCORN HOLDER,0.85,-1,-0.85,Very Low,Low,Very Low,-3,16550,United Kingdom,12/6/2010,6,December,2010,Monday,13,Winter,TRUE,TRUE
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,4.25,-1,-4.25,Low,Low,Very Low,-3,16550,United Kingdom,12/6/2010,6,December,2010,Monday,13,Winter,TRUE,TRUE
C537398,22430,ENAMEL WATERING CAN CREAM,4.95,-1,-4.95,Low,Low,Very Low,-1,15426,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,22926,IVORY GIANT GARDEN THERMOMETER,5.95,-4,-23.8,Medium,Low,Medium,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,22927,GREEN GIANT GARDEN THERMOMETER,5.95,-4,-23.8,Medium,Low,Medium,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,22849,BREAD BIN DINER STYLE MINT,14.95,-4,-59.8,Medium,Low,Medium,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,22847,BREAD BIN DINER STYLE IVORY,14.95,-4,-59.8,Medium,Low,Medium,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,47580,TEA TIME DES TEA COSY,2.55,-6,-15.3,Low,Medium,Low,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537402,22196,SMALL HEART MEASURING SPOONS,0.85,-12,-10.2,Very Low,Medium,Low,-34,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537406,22926,IVORY GIANT GARDEN THERMOMETER,5.95,-4,-23.8,Medium,Low,Medium,-16,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537406,22927,GREEN GIANT GARDEN THERMOMETER,5.95,-4,-23.8,Medium,Low,Medium,-16,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537406,22847,BREAD BIN DINER STYLE IVORY,14.95,-4,-59.8,Medium,Low,Medium,-16,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537406,22849,BREAD BIN DINER STYLE MINT,14.95,-4,-59.8,Medium,Low,Medium,-16,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537408,47580,TEA TIME DES TEA COSY,2.55,-6,-15.3,Low,Medium,Low,-18,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537408,22196,SMALL HEART MEASURING SPOONS,0.85,-12,-10.2,Very Low,Medium,Low,-18,15502,United Kingdom,12/6/2010,6,December,2010,Monday,14,Winter,TRUE,TRUE
C537413,22834,HAND WARMER BABUSHKA DESIGN,2.1,-72,-151.2,Low,Very High,High,-72,14409,United Kingdom,12/6/2010,6,December,2010,Monday,15,Winter,TRUE,FALSE
C537414,POST,POSTAGE,4.41,-1,-4.41,Low,Low,Very Low,-7,16861,United Kingdom,12/6/2010,6,December,2010,Monday,15,Winter,TRUE,FALSE
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.95,-6,-17.7,Low,Medium,Low,-7,16861,United Kingdom,12/6/2010,6,December,2010,Monday,15,Winter,TRUE,FALSE
C537416,22840,ROUND CAKE TIN VINTAGE RED,7.95,-1,-7.95,Medium,Low,Low,-1,16138,United Kingdom,12/6/2010,6,December,2010,Monday,15,Winter,TRUE,FALSE
C537417,22960,JAM MAKING SET WITH JARS,4.25,-1,-4.25,Low,Low,Very Low,-1,13481,United Kingdom,12/6/2010,6,December,2010,Monday,15,Winter,TRUE,TRUE
C537431,21755,LOVE BUILDING BLOCK WORD,5.95,-1,-5.95,Medium,Low,Low,-1,16782,United Kingdom,12/6/2010,6,December,2010,Monday,16,Winter,TRUE,TRUE
C537444,22580,ADVENT CALENDAR GINGHAM SACK,5.95,-8,-47.6,Medium,Medium,Medium,-8,14850,United Kingdom,12/7/2010,7,December,2010,Tuesday,8,Winter,TRUE,FALSE
C537445,22418,10 COLOUR SPACEBOY PEN,0.85,-11,-9.35,Very Low,Medium,Low,-11,15021,United Kingdom,12/7/2010,7,December,2010,Tuesday,8,Winter,TRUE,TRUE
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,7.95,-1,-7.95,Medium,Low,Low,-5,13319,United Kingdom,12/7/2010,7,December,2010,Tuesday,11,Winter,TRUE,TRUE
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,6.35,-2,-12.7,Medium,Low,Low,-5,13319,United Kingdom,12/7/2010,7,December,2010,Tuesday,11,Winter,TRUE,TRUE
C537530,22726,ALARM CLOCK BAKELIKE GREEN,3.75,-2,-7.5,Low,Low,Low,-5,13319,United Kingdom,12/7/2010,7,December,2010,Tuesday,11,Winter,TRUE,TRUE
C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,9.95,-2,-19.9,Medium,Low,Low,-2,17954,United Kingdom,12/7/2010,7,December,2010,Tuesday,12,Winter,TRUE,TRUE
C537597,D,Discount,281,-1,-281,Very High,Low,High,-1,15498,United Kingdom,12/7/2010,7,December,2010,Tuesday,12,Winter,TRUE,TRUE
C537602,85099B,JUMBO BAG RED RETROSPOT,1.65,-1,-1.65,Low,Low,Very Low,-18,17511,United Kingdom,12/7/2010,7,December,2010,Tuesday,12,Winter,TRUE,TRUE
